#{"t_start": 1777875437.321235, "env_id": "None"}
r,l,t
-222.95096,41,44.429278
-219.84677,18,44.468293
-300.94656,39,44.505304
-161.09302,38,44.541817
-230.23338,26,44.541817
-174.00443,31,44.572829
-681.5979,38,44.60034
-177.25392,26,44.634351
-194.05647,40,44.662364
-165.74513,23,44.701409
-311.13925,47,44.732918
-162.72217,40,44.765937
-410.82523,48,44.815517
-155.6249,21,44.816019
-247.74474,42,44.816019
-269.8067,31,44.85453
-207.42203,52,44.89305
-152.18176,56,44.923063
-211.46034,25,44.955072
-290.5522,30,44.988582
-156.65512,26,45.025596
-200.42354,50,45.054111
-223.21815,45,45.08863
-186.61774,35,45.132661
-697.1461,116,45.17819
-468.34903,41,45.208705
-209.10535,33,45.234715
-154.82346,38,45.270963
-362.71313,61,45.306513
-164.7872,37,45.349037
-238.28831,51,45.380551
-262.40283,24,45.380551
-261.61606,33,45.423577
-169.68317,41,45.423577
-187.03708,86,45.452091
-183.34915,46,45.489104
-152.91672,30,45.523614
-281.30466,34,45.553621
-177.2802,53,45.58963
-222.54785,41,45.615145
-229.1398,36,45.653718
-303.58093,30,45.689729
-327.181,49,45.719746
-216.84615,25,45.752755
-204.83508,34,45.784287
-218.95836,49,45.812877
-356.4418,28,45.845888
-116.84989,70,45.878991
-220.57704,33,52.145748
-197.91711,24,52.178259
-177.99959,57,52.208267
-293.27917,37,52.23678
-142.24268,43,52.273788
-308.95514,20,52.304639
-163.49193,36,52.341315
-288.35535,28,52.369823
-407.64743,46,52.397334
-158.27386,69,52.434355
-153.55203,43,52.472371
-178.26617,41,52.499892
-274.68637,37,52.539403
-142.49388,41,52.571419
-172.61755,21,52.600446
-238.61566,33,52.628464
-203.94789,42,52.666476
-244.35553,28,52.702518
-240.72601,27,52.729382
-346.54422,22,52.763409
-202.73714,20,52.799443
-159.95546,64,52.833459
-221.64131,38,52.862467
-232.98964,40,52.891978
-149.16254,27,52.921488
-188.78644,36,52.9585
-168.04721,24,52.993016
-237.63351,39,53.02603
-203.18613,70,53.063543
-193.66806,40,53.097055
-173.12445,48,53.126565
-213.7876,42,53.160576
-202.79709,33,53.186589
-193.27092,51,53.216098
-170.19798,30,53.247124
-223.36797,46,53.287648
-197.05768,20,53.32717
-144.05649,45,53.354678
-173.97313,28,53.382185
-199.84496,48,53.421946
-235.98907,41,53.451764
-176.65097,49,53.47927
-211.51778,43,53.509279
-236.86835,32,53.541792
-152.40872,24,53.541792
-156.55443,29,53.574812
-266.16293,19,53.605822
-172.66309,37,53.638839
-191.59572,22,53.669351
-190.2211,37,53.706896
-217.8815,23,53.749407
-271.84045,42,53.780926
-147.35867,33,53.810433
-168.04129,30,53.858939
-190.2816,37,53.891451
-171.54216,27,53.927465
-183.98451,50,53.956171
-168.96887,36,53.994689
-257.30777,33,53.994689
-208.29071,47,54.031212
-196.8968,84,54.072728
-297.18256,30,54.103238
-297.32635,24,54.131754
-650.92,36,54.169276
-171.44191,50,54.19678
-147.33742,36,54.225291
-336.52197,37,54.263371
-287.2172,65,54.301381
-159.16498,29,54.333406
-317.68753,42,54.370929
-167.91101,28,54.398935
-125.84505,45,54.432455
-191.23485,25,54.467472
-272.2241,41,54.498994
-183.51631,18,54.532506
-406.08017,47,54.532506
-233.62889,30,54.563516
-244.7087,47,54.597529
-203.33884,37,54.631045
-156.96017,32,54.671055
-228.02298,33,54.705584
-141.05345,34,54.733089
-162.03746,33,54.770089
-190.99669,48,54.770591
-412.2891,43,54.8001
-176.41913,32,54.839118
-231.7081,23,54.879141
-252.56052,60,54.91488
-139.3316,38,54.952401
-189.05415,42,54.952902
-193.74994,44,54.981915
-152.37898,52,55.016257
-218.50406,29,55.065946
-249.0961,59,55.095973
-216.27905,29,55.13035
-191.55775,45,55.160208
-181.8818,37,55.202233
-171.97385,61,55.202233
-307.95514,33,55.237099
-271.52792,38,55.265282
-253.18092,30,55.312799
-176.92468,26,55.34182
-203.85458,20,55.373342
-184.60597,35,55.40785
-164.43484,21,55.40785
-179.87965,26,55.441861
-208.97849,29,55.474873
-167.73557,21,55.511884
-167.90828,29,55.555891
-166.73758,39,55.592905
-226.14304,68,55.62042
-210.52376,34,55.655431
-157.52966,46,55.693958
-187.59009,33,55.721967
-376.00858,52,55.752473
-132.96523,52,55.789998
-179.4627,19,55.789998
-170.64359,41,55.832518
-151.35487,28,55.870029
-152.47781,36,55.900533
-213.37697,44,55.930543
-180.92302,30,55.961556
-193.79617,39,55.994066
-225.0946,37,56.02801
