#{"t_start": 1778795877.6988792, "env_id": "None"}
r,l,t
-210.34424,34,60.442272
-213.47202,37,60.491537
-160.34938,25,60.520469
-159.30788,42,60.561539
-208.45403,60,60.588107
-208.46945,53,60.616348
-186.65234,46,60.650643
-184.62956,28,60.683318
-248.75337,20,60.72167
-233.7766,21,60.759729
-222.44437,33,60.798697
-310.4425,46,60.839633
-212.02493,36,60.874525
-361.39362,24,60.905779
-171.69371,41,60.947874
-167.61143,82,60.983677
-181.30168,56,61.033379
-224.21718,60,61.072794
-262.7795,35,61.121925
-235.321,62,61.156052
-400.98282,77,61.190363
-171.67448,114,61.243674
-178.17479,38,61.285754
-183.48398,31,61.285754
-210.61977,44,61.312461
-335.45813,119,61.337961
-200.28738,27,61.392145
-706.7757,98,61.424915
-246.77798,33,61.451507
-217.49881,36,61.480165
-174.56664,63,61.54344
-213.60504,32,61.54344
-175.48196,49,61.583961
-180.44238,55,61.624893
-204.75354,69,61.66275
-235.8174,35,61.699649
-285.27652,54,61.735405
-216.81346,57,61.765913
-193.73401,28,61.805179
-232.65253,44,61.837085
-194.27469,25,61.87511
-178.7646,32,61.91254
-166.95724,51,61.950135
-187.02467,27,61.950135
-378.0942,47,62.008748
-190.05547,32,62.04247
-164.53981,41,62.069031
-424.16217,78,62.114065
-278.7532,31,62.161159
-162.86577,37,62.191948
-243.02438,80,62.232942
-181.944,55,62.265846
-201.00186,31,62.329148
-221.57405,53,62.356732
-232.90266,73,62.385451
-2894.4568,297,62.420181
-184.29233,63,62.451005
-168.48508,29,62.492083
-247.04277,46,62.545439
-321.82727,56,62.584322
-461.74136,99,62.622147
-252.39293,55,62.655908
-154.70396,57,62.694835
-196.54443,51,62.73217
-195.60857,32,62.76244
-287.18588,25,62.806492
-161.58058,32,62.832552
-168.81029,49,62.869913
-215.08478,48,62.922907
-373.74643,67,62.975103
-208.12173,50,63.00797
-285.83618,32,63.03889
-327.19275,98,63.069648
-520.6783,68,63.099574
-184.65948,27,63.135381
-175.34044,35,63.184745
-239.43541,100,63.215619
-211.84735,45,63.250099
-153.57724,46,63.283685
-194.23221,24,63.321607
-162.62329,64,63.366702
-281.2041,42,63.403589
-186.85178,57,63.440377
-168.41724,56,63.483305
-162.45157,30,63.518142
-515.53204,114,63.518142
-154.63884,25,63.546856
-232.52858,49,63.577739
-220.88776,29,63.637021
-166.0846,36,63.665783
-148.1907,43,63.70621
-177.15422,64,63.737011
-421.85883,47,63.766773
-176.24475,56,63.802367
-232.63268,28,63.833261
-157.23717,42,63.891245
-198.15546,65,63.932277
-295.05167,57,63.964089
-179.98824,60,63.997949
-172.21472,53,64.030788
-191.6652,61,64.060865
-179.27051,38,64.09363
-274.47562,35,64.135051
-168.3705,26,64.171108
-184.73065,45,64.203342
-192.52292,43,64.238948
-213.6015,16,64.274893
-198.20206,25,64.274893
-173.23138,39,64.303581
-283.74747,19,64.345649
-284.44125,77,64.380566
-144.13089,35,64.413472
-215.26222,31,64.44427
-197.39626,35,64.473964
-414.21454,52,64.509098
-187.8634,29,64.550151
-215.22185,23,64.577857
-186.42331,33,64.616727
-211.46454,46,64.66808
-251.50778,65,64.708859
-145.25253,50,64.750952
-175.58762,42,64.779463
-223.52147,92,64.806618
-12676.369,1182,64.842468
-216.3463,27,64.842468
